site,latitude,longitude,notes
FM01,28.70363328,-80.66856886,User-supplied KSC EFM placefile
FM02,28.68754581,-80.71951397,User-supplied KSC EFM placefile
FM04,28.66433003,-80.63912575,User-supplied KSC EFM placefile
FM05,28.65818442,-80.6993575,User-supplied KSC EFM placefile
FM06,28.64397406,-80.666388,User-supplied KSC EFM placefile
FM07,28.64237606,-80.74761836,User-supplied KSC EFM placefile
FM08,28.63887583,-80.62253764,User-supplied KSC EFM placefile
FM09,28.62141806,-80.60797192,User-supplied KSC EFM placefile
FM10,28.62412494,-80.70151281,User-supplied KSC EFM placefile
FM11,28.60576031,-80.67387342,User-supplied KSC EFM placefile
FM12,28.60226208,-80.64093842,User-supplied KSC EFM placefile
FM13,28.60204986,-80.58942308,Shared location with FM35 in user-supplied placefile
FM35,28.60204986,-80.58942308,Shared location with FM13 in user-supplied placefile
FM14,28.57852431,-80.60858731,User-supplied KSC EFM placefile
FM15,28.57675722,-80.64310431,User-supplied KSC EFM placefile
FM16,28.57529606,-80.57310919,User-supplied KSC EFM placefile
FM17,28.56204775,-80.67002806,User-supplied KSC EFM placefile
FM18,28.55517669,-80.70211531,User-supplied KSC EFM placefile
FM19,28.54948392,-80.62038989,User-supplied KSC EFM placefile
FM20,28.54170181,-80.64443092,User-supplied KSC EFM placefile
FM21,28.52575131,-80.622098,User-supplied KSC EFM placefile
FM22,28.5069275,-80.69359086,User-supplied KSC EFM placefile
FM24,28.47858928,-80.67486964,User-supplied KSC EFM placefile
FM25,28.42473547,-80.66379628,User-supplied KSC EFM placefile
FM26,28.54937547,-80.56698797,User-supplied KSC EFM placefile
FM27,28.50308214,-80.55812403,User-supplied KSC EFM placefile
FM28,28.46023958,-80.52722439,User-supplied KSC EFM placefile
FM29,28.46256017,-80.58355694,User-supplied KSC EFM placefile
FM30,28.47511169,-80.55841622,User-supplied KSC EFM placefile
FM31,28.42033428,-80.59115803,User-supplied KSC EFM placefile
FM32,28.43688014,-80.58009844,User-supplied KSC EFM placefile
FM33,28.41531683,-80.60581564,User-supplied KSC EFM placefile
FM34,28.44982481,-80.56349928,User-supplied KSC EFM placefile
